,City,Title,Company,Location,Summary,Salary,URL
0,Chicago,Cashier - Meter Reader,"Superior Air-Ground Ambulance Service, Inc.","Bellwood, IL","Current driver’s license with good driving record is required. The Responsibilities of the Finance Department Cashier portion of this position is clerical, and...",,http://indeed.com/rc/clk?jk=3d0628642f33c988&fccid=ea21f020f088e09e&vjs=3
1,Chicago,Crew,AMC Theatres,"Chicago, IL 60611 (Near North Side area)","Complete transactions by greeting each guest, identifying the guest's request, operating point-of-sale terminals, making change accurately, completing loyalty...",,http://indeed.com/rc/clk?jk=978301c711781a24&fccid=c5b88685ea57e539&vjs=3
2,Chicago,Whole Foods Hiring Day - Streeterville,Whole Foods Market,"Chicago, IL 60611 (Near North Side area)","We’re hiring permanent Team Members, and have openings for part-time and full-time positions. Cashier, Housekeeping & Sanitation....",,http://indeed.com/rc/clk?jk=96c011982f7f4d6d&fccid=ea10be8bb95dc939&vjs=3
3,Chicago,Cashier - Meter Reader,Municipal Management Services,"Bellwood, IL","Current driver’s license with good driving record is required. The Responsibilities of the Finance Department Cashier portion of this position is clerical, and...",,http://indeed.com/rc/clk?jk=f40942464a9ea65f&fccid=3d1b554abc2a97d6&vjs=3
4,Chicago,Warehouse Person (Loader) - Part-Time/Evenings *Seasonal,PepsiCo,"Chicago, IL","Driving a forklift (e.g., performing basic operations such as driving forwards, driving backwards, lifting and lowering boom, maneuvering in tight areas without...",,http://indeed.com/rc/clk?jk=9449789938b9f940&fccid=2973259ddc967948&vjs=3
5,Chicago,Amazon Warehouse Fulfillment Associate,Amazon HVH,"Chicago, IL","In about 30 minutes on your smart phone or computer, you answer some questions, play a few fun games designed to show you what it’s like to work at Amazon, and...",,http://indeed.com/rc/clk?jk=781ade95f656e0df&fccid=fe2d21eef233e94a&vjs=3
6,Chicago,Receptionist - (Mon - Fri. 8:00AM - 4:30PM),Aperion Care Oak Lawn,"Oak Lawn, IL 60453","Operates telephone switchboard to answer, screen and forward calls, providing information and taking messages....",,http://indeed.com/rc/clk?jk=8900bf1fe4c399fd&fccid=53cf718613add355&vjs=3
7,Chicago,Customer Service Agent: Ticketing/Gate Service Agent (Ready Reserve)- Seasonal Employment,Delta Air Lines,"Chicago, IL 60666","Have a valid driver's license. Working the front lines at the airport, you will play a vital role in demonstrating that commitment and reinforcing the Delta...",,http://indeed.com/rc/clk?jk=6a1222b412061705&fccid=af0caae05772d1fa&vjs=3
8,Chicago,Telecommunicator/ 911 Telecommunications,Cook County Sheriff’s Office,"Chicago, IL",Must successfully obtain certification from the State of Illinois as a Law Enforcement Agencies Data System (LEADS) Operator within ninety (90) days of hire and...,,http://indeed.com/rc/clk?jk=c00661690126e80f&fccid=e8a9208fe3ea244e&vjs=3
9,Chicago,Railroad Safety Inspector-Signal and Train Control,Department of Transportation,"Chicago, IL",All railroad safety inspectors are required to possess a valid state drivers license at all times while employed by the Federal Rail Administration (FRA) in...,,http://indeed.com/rc/clk?jk=65111ea206a98293&fccid=5b0288fa591ac208&vjs=3
10,Chicago,"Comedy Writer, Wait Wait...Don't Tell Me",NPR,"Chicago, IL","A thriving, mission-driven multimedia organization, NPR produces award-winning news, information, and music programming in partnership with hundreds of...",,http://indeed.com/rc/clk?jk=5f8971007a267975&fccid=15d9afdbc1e1cdf0&vjs=3
11,Chicago,Courier/Delivery Driver- Morning Shift- $18.81 Hr,FedEx Express,"Hillside, IL","The provisions of this article shall apply to any application by any person for a license or employment at any public or private employer, who has previously...",,http://indeed.com/rc/clk?jk=8adc67ea0f372005&fccid=5c439b65a0bd045b&vjs=3
12,Chicago,Handler/Warehouse-Evening Shift-$14.30 Hr,FedEx Express,"Chicago, IL","The provisions of this article shall apply to any application by any person for a license or employment at any public or private employer, who has previously...",,http://indeed.com/rc/clk?jk=c243d237da2a7f9b&fccid=5c439b65a0bd045b&vjs=3
13,Chicago,"UNIT SECRETARY, MOTHER/BABY, Full-time, 7:00 a.m. - 3:30 p.m.",MacNeal Hospital,"Berwyn, IL",Acts as a representative for the department/unit via telephone and in person. Interpersonal skills necessary to frequently interact in a courteous manner with...,,http://indeed.com/rc/clk?jk=0fd4290e4a46f418&fccid=12f7007b25f2b265&vjs=3
14,Chicago,"Program Coordinator (Mon, WED, Fri) - Government Affairs",Ann & Robert H. Lurie Children’s Hospital of Chica...,"Chicago, IL",Ensures the smooth daily operations of CCHP through scheduling and maintaining calendar for the Executive Director and managing in-bound phone calls and...,,http://indeed.com/rc/clk?jk=e93f4963fb014dce&fccid=4ec99868f4052afc&vjs=3
